"","name","city","state","brewery_id","lon","lat"
"1","NorthGate Brewing ","Minneapolis"," MN",0,-93.2650108,44.977753
"2","Against the Grain Brewery","Louisville"," KY",1,-85.7584557,38.2526647
"3","Jack's Abby Craft Lagers","Framingham"," MA",2,-71.4161565,42.279286
"4","Mike Hess Brewing Company","San Diego"," CA",3,-117.1610838,32.715738
"5","Fort Point Beer Company","San Francisco"," CA",4,-122.4194155,37.7749295
"6","COAST Brewing Company","Charleston"," SC",5,-79.9310512,32.7764749
"7","Great Divide Brewing Company","Denver"," CO",6,-104.990251,39.7392358
"8","Tapistry Brewing","Bridgman"," MI",7,-86.5569659,41.9430986
"9","Big Lake Brewing","Holland"," MI",8,-86.1089301,42.7875235
"10","The Mitten Brewing Company","Grand Rapids"," MI",9,-85.6680863,42.9633599
"11","Brewery Vivant","Grand Rapids"," MI",10,-85.6680863,42.9633599
"12","Petoskey Brewing","Petoskey"," MI",11,-84.9553296,45.3733428
"13","Blackrocks Brewery","Marquette"," MI",12,-87.9298002,43.0384666
"14","Perrin Brewing Company","Comstock Park"," MI",13,-85.6700332,43.0386368
"15","Witch's Hat Brewing Company","South Lyon"," MI",14,-83.6516063,42.46059
"16","Founders Brewing Company","Grand Rapids"," MI",15,-85.6680863,42.9633599
"17","Flat 12 Bierwerks","Indianapolis"," IN",16,-86.158068,39.768403
"18","Tin Man Brewing Company","Evansville"," IN",17,-87.5710898,37.9715592
"19","Black Acre Brewing Co.","Indianapolis"," IN",18,-86.158068,39.768403
"20","Brew Link Brewing","Plainfield"," IN",19,-86.3994387,39.7042123
"21","Bare Hands Brewery","Granger"," IN",20,-86.1108377,41.7533819
"22","Three Pints Brewing","Martinsville"," IN",21,-79.8725386,36.6915262
"23","Four Fathers Brewing ","Valparaiso"," IN",22,-87.0611412,41.4730948
"24","Indiana City Brewing","Indianapolis"," IN",23,-86.158068,39.768403
"25","Burn 'Em Brewing","Michigan City"," IN",24,-86.8950297,41.7075394
"26","Sun King Brewing Company","Indianapolis"," IN",25,-86.158068,39.768403
"27","Evil Czech Brewery","Mishawaka"," IN",26,-86.1586156,41.6619927
"28","450 North Brewing Company","Columbus"," IN",27,-82.9987942,39.9611755
"29","Taxman Brewing Company","Bargersville"," IN",28,-86.1677657,39.5208818
"30","Cedar Creek Brewery","Seven Points"," TX",29,-96.2130315,32.3204226
"31","SanTan Brewing Company","Chandler"," AZ",30,-111.8412502,33.3061605
"32","Boulevard Brewing Company","Kansas City"," MO",31,-94.5785667,39.0997265
"33","James Page Brewing Company","Stevens Point"," WI",32,-89.574563,44.5235792
"34","The Dudes' Brewing Company","Torrance"," CA",33,-118.3406288,33.8358492
"35","Ballast Point Brewing Company","San Diego"," CA",34,-117.1610838,32.715738
"36","Anchor Brewing Company","San Francisco"," CA",35,-122.4194155,37.7749295
"37","Figueroa Mountain Brewing Company","Buellton"," CA",36,-120.1926505,34.613597
"38","Avery Brewing Company","Boulder"," CO",37,-105.2705456,40.0149856
"39","Twisted X Brewing Company","Dripping Springs"," TX",38,-98.0866781,30.1902067
"40","Gonzo's BiggDogg Brewing","Kalamazoo"," MI",39,-85.5872286,42.2917069
"41","Big Muddy Brewing","Murphysboro"," IL",40,-89.3350888,37.7644952
"42","Lost Nation Brewing","East Fairfield"," VT",41,-122.0399663,38.2493581
"43","Rising Tide Brewing Company","Portland"," ME",42,-122.6764816,45.5230622
"44","Rivertowne Brewing Company","Export"," PA",43,-79.6255989,40.4181235
"45","Revolution Brewing Company","Chicago"," IL",44,-87.6297982,41.8781136
"46","Tallgrass Brewing Company","Manhattan"," KS",45,-73.9712488,40.7830603
"47","Sixpoint Craft Ales","Brooklyn"," NY",46,-73.9441579,40.6781784
"48","White Birch Brewing","Hooksett"," NH",47,-71.4651283,43.0967213
"49","Firestone Walker Brewing Company","Paso Robles"," CA",48,-120.6545022,35.6368759
"50","SweetWater Brewing Company","Atlanta"," GA",49,-84.3879824,33.7489954
"51","Flying Mouse Brewery","Troutville"," VA",50,-79.8747627,37.4181897
