"","X","abv","ibu","id","name","style","brewery_id","ounces"
"1",14,0.061,60,1979,"Bitter Bitch","American Pale Ale (APA)",177,12
"2",24,0.044,42,876,"Bitter American","American Pale Ale (APA)",368,12
"3",28,0.07,70,799,"21st Amendment IPA (2006)","American IPA",368,12
"4",29,0.07,70,797,"Brew Free! or Die IPA (2008)","American IPA",368,12
"5",30,0.07,70,796,"Brew Free! or Die IPA (2009)","American IPA",368,12
"6",32,0.097,94,432,"Hop Crisis","American Double / Imperial IPA",368,12
"7",33,0.044,42,353,"Bitter American (2011)","American Pale Ale (APA)",368,12
"8",37,0.07,65,10,"Brew Free! or Die IPA","American IPA",368,12
"9",39,0.07,82,2519,"Bimini Twist","American IPA",67,12
"10",43,0.045,18,2544,"Send Help","American Blonde Ale",60,12
"11",49,0.05,28,1870,"Contact High","American Pale Wheat Ale",60,12
"12",51,0.05,45,2602,"Citrafest","American IPA",27,16
"13",53,0.069,65,2219,"Scarecrow","American IPA",27,16
"14",57,0.059,75,972,"Rude Parrot IPA","American IPA",481,16
"15",60,0.084,82,47,"Ballz Deep Double IPA","American Double / Imperial IPA",481,16
"16",64,0.065,52,516,"Jockamo IPA","American IPA",533,12
"17",67,0.082,68,2540,"Citra Ass Down","American IPA",62,16
"18",69,0.08,68,2686,"Citra Ass Down","American Double / Imperial IPA",1,16
"19",72,0.042,42,2683,"A Beer","American Pale Ale (APA)",1,16
"20",77,0.076,68,2678,"Rico Sauvin","American Double / Imperial IPA",1,16
"21",80,0.06,65,2675,"Pile of Face","American IPA",1,16
"22",83,0.05,35,1162,"Oatmeal PSA","American Pale Ale (APA)",367,16
"23",86,0.053,36,2402,"Klickitat Pale Ale","American Pale Ale (APA)",117,12
"24",87,0.082,103,2401,"Yellow Wolf Imperial IPA","American Double / Imperial IPA",117,12
"25",88,0.053,40,1921,"Freeride APA","American Pale Ale (APA)",270,12
"26",95,0.062,43,837,"Desolation IPA","American IPA",401,16
"27",107,0.07,80,1327,"Hop Ottin' IPA","American IPA",171,12
"28",108,0.058,15,1326,"Boont Amber Ale","American Amber / Red Ale",171,12
"29",111,0.058,15,811,"Boont Amber Ale (2010)","American Amber / Red Ale",171,12
"30",115,0.07,80,367,"Hop Ottin' IPA (2011)","American IPA",171,12
"31",116,0.058,15,78,"Boont Amber Ale (2011)","American Amber / Red Ale",171,12
"32",118,0.055,28,76,"Poleeko Gold Pale Ale (2009)","American Pale Ale (APA)",171,12
"33",128,0.071,75,2511,"Long Leaf","American IPA",69,16
"34",129,0.047,19,2510,"Honey Badger Blonde","American Blonde Ale",69,16
"35",131,0.06,55,413,"Sky High Rye","American Pale Ale (APA)",541,12
"36",132,0.062,17,390,"Whitsun","American Pale Wheat Ale",541,12
"37",137,0.07,45,1322,"Green Bullet Organic India Pale Ale","American IPA",429,16
"38",140,0.06,69,428,"Shiva IPA","American IPA",528,12
"39",144,0.056,27,597,"This Season's Blonde","American Blonde Ale",523,12
"40",145,0.07,67,596,"Independence Pass Ale","American IPA",523,12
"41",147,0.082,138,980,"Bitter Bitch Imperial IPA","American Double / Imperial IPA",374,12
"42",149,0.06,35,978,"Old Red Beard Amber Ale","American Amber / Red Ale",374,12
"43",150,0.075,115,2503,"Hop A-Peel","American Double / Imperial IPA",72,16
"44",153,0.045,8,534,"Dirty Blonde Ale","American Blonde Ale",72,12
"45",154,0.05,62,528,"Grand Circus IPA","American IPA",72,12
"46",165,0.063,69,107,"Avery India Pale Ale","American IPA",37,12
"47",169,0.048,23,1228,"Mad Beach","American Pale Wheat Ale",360,12
"48",172,0.061,41,702,"Hot Rod Red","American Amber / Red Ale",360,12
"49",179,0.06,43,1875,"Naked Pig Pale Ale","American Pale Ale (APA)",286,12
"50",180,0.068,70,966,"Topcutter India Pale Ale","American IPA",483,12
"51",181,0.044,38,965,"Field 41 Pale Ale","American Pale Ale (APA)",483,12
"52",183,0.038,40,2105,"Even Keel","American IPA",34,12
"53",185,0.07,75,1400,"Big Eye India Pale Ale","American IPA",34,12
"54",187,0.07,70,1018,"Sculpin IPA","American IPA",34,12
"55",190,0.035,45,1643,"Banner American Ale","American Amber / Red Ale",318,12
"56",191,0.07,46,2618,"Thai.p.a","American IPA",20,16
"57",192,0.06,60,2005,"Barrio Blanco","American IPA",251,12
"58",195,0.067,60,2323,"Ultra Gnar Gnar IPA","American IPA",116,12
"59",200,0.067,70,1965,"Sky-Five","American IPA",258,12
"60",209,0.055,35,533,"Amber Road","American Amber / Red Ale",292,12
"61",210,0.049,28,183,"Pamola Xtra Pale Ale","American Pale Ale (APA)",292,12
"62",211,0.069,69,182,"Stowaway IPA","American IPA",292,12
"63",212,0.088,108,1806,"Hoptopus Double IPA","American Double / Imperial IPA",306,16
"64",214,0.058,45,2423,"Fenway American Pale Ale","American Pale Ale (APA)",103,12
"65",215,0.068,85,2420,"Back Bay IPA","American IPA",103,12
"66",225,0.057,27,2556,"Nordic Blonde","American Blonde Ale",53,12
"67",227,0.072,87,2410,"Harness the Winter","American IPA",75,12
"68",229,0.062,68,1901,"Bent Hop Golden IPA","American IPA",75,12
"69",233,0.053,20,1317,"Steel Rail Extra Pale Ale","American Pale Ale (APA)",278,12
"70",240,0.095,104,1762,"Hemlock Double IPA","American Double / Imperial IPA",220,12
"71",242,0.067,85,1067,"Disconnected Red","American Amber / Red Ale",220,16
