"","abv","ibu","id","name","style","brewery_id","ounces","city","state","lon","lat","brewery"
"1",0.061,60,1979,"Bitter Bitch","American Pale Ale (APA)",177,12,"Gary"," IN",-87.3464271,41.5933696,"18th Street Brewery"
"2",0.044,42,876,"Bitter American","American Pale Ale (APA)",368,12,"San Francisco"," CA",-122.4194155,37.7749295,"21st Amendment Brewery"
"3",0.07,70,799,"21st Amendment IPA (2006)","American IPA",368,12,"San Francisco"," CA",-122.4194155,37.7749295,"21st Amendment Brewery"
"4",0.07,70,797,"Brew Free! or Die IPA (2008)","American IPA",368,12,"San Francisco"," CA",-122.4194155,37.7749295,"21st Amendment Brewery"
"5",0.07,70,796,"Brew Free! or Die IPA (2009)","American IPA",368,12,"San Francisco"," CA",-122.4194155,37.7749295,"21st Amendment Brewery"
"6",0.097,94,432,"Hop Crisis","American Double / Imperial IPA",368,12,"San Francisco"," CA",-122.4194155,37.7749295,"21st Amendment Brewery"
"7",0.044,42,353,"Bitter American (2011)","American Pale Ale (APA)",368,12,"San Francisco"," CA",-122.4194155,37.7749295,"21st Amendment Brewery"
"8",0.07,65,10,"Brew Free! or Die IPA","American IPA",368,12,"San Francisco"," CA",-122.4194155,37.7749295,"21st Amendment Brewery"
"9",0.07,82,2519,"Bimini Twist","American IPA",67,12,"St Petersburg"," FL",30.3350986,59.9342802,"3 Daughters Brewing"
"10",0.045,18,2544,"Send Help","American Blonde Ale",60,12,"Saint Louis"," MO",-90.1994042,38.6270025,"4 Hands Brewing Company"
"11",0.05,28,1870,"Contact High","American Pale Wheat Ale",60,12,"Saint Louis"," MO",-90.1994042,38.6270025,"4 Hands Brewing Company"
"12",0.05,45,2602,"Citrafest","American IPA",27,16,"Columbus"," IN",-82.9987942,39.9611755,"450 North Brewing Company"
"13",0.069,65,2219,"Scarecrow","American IPA",27,16,"Columbus"," IN",-82.9987942,39.9611755,"450 North Brewing Company"
"14",0.059,75,972,"Rude Parrot IPA","American IPA",481,16,"Gig Harbor"," WA",-122.5801293,47.329264,"7 Seas Brewing Company"
"15",0.084,82,47,"Ballz Deep Double IPA","American Double / Imperial IPA",481,16,"Gig Harbor"," WA",-122.5801293,47.329264,"7 Seas Brewing Company"
"16",0.065,52,516,"Jockamo IPA","American IPA",533,12,"Abita Springs"," LA",-90.0375755,30.4785257,"Abita Brewing Company"
"17",0.082,68,2540,"Citra Ass Down","American IPA",62,16,"Louisville"," KY",-85.7584557,38.2526647,"Against The Grain Brewery"
"18",0.08,68,2686,"Citra Ass Down","American Double / Imperial IPA",1,16,"Louisville"," KY",-85.7584557,38.2526647,"Against the Grain Brewery"
"19",0.042,42,2683,"A Beer","American Pale Ale (APA)",1,16,"Louisville"," KY",-85.7584557,38.2526647,"Against the Grain Brewery"
"20",0.076,68,2678,"Rico Sauvin","American Double / Imperial IPA",1,16,"Louisville"," KY",-85.7584557,38.2526647,"Against the Grain Brewery"
"21",0.06,65,2675,"Pile of Face","American IPA",1,16,"Louisville"," KY",-85.7584557,38.2526647,"Against the Grain Brewery"
"22",0.05,35,1162,"Oatmeal PSA","American Pale Ale (APA)",367,16,"Kent"," WA",-81.3578859,41.1536674,"Airways Brewing Company"
"23",0.053,36,2402,"Klickitat Pale Ale","American Pale Ale (APA)",117,12,"Portland"," OR",-122.6764816,45.5230622,"Alameda Brewing"
"24",0.082,103,2401,"Yellow Wolf Imperial IPA","American Double / Imperial IPA",117,12,"Portland"," OR",-122.6764816,45.5230622,"Alameda Brewing"
"25",0.053,40,1921,"Freeride APA","American Pale Ale (APA)",270,12,"Juneau"," AK",-134.4197222,58.3019444,"Alaskan Brewing Company"
"26",0.062,43,837,"Desolation IPA","American IPA",401,16,"Washougal"," WA",-122.3534247,45.5826188,"Amnesia Brewing Company"
"27",0.07,80,1327,"Hop Ottin' IPA","American IPA",171,12,"Boonville"," CA",-123.3671551,39.0089749,"Anderson Valley Brewing Company"
"28",0.058,15,1326,"Boont Amber Ale","American Amber / Red Ale",171,12,"Boonville"," CA",-123.3671551,39.0089749,"Anderson Valley Brewing Company"
"29",0.058,15,811,"Boont Amber Ale (2010)","American Amber / Red Ale",171,12,"Boonville"," CA",-123.3671551,39.0089749,"Anderson Valley Brewing Company"
"30",0.07,80,367,"Hop Ottin' IPA (2011)","American IPA",171,12,"Boonville"," CA",-123.3671551,39.0089749,"Anderson Valley Brewing Company"
"31",0.058,15,78,"Boont Amber Ale (2011)","American Amber / Red Ale",171,12,"Boonville"," CA",-123.3671551,39.0089749,"Anderson Valley Brewing Company"
"32",0.055,28,76,"Poleeko Gold Pale Ale (2009)","American Pale Ale (APA)",171,12,"Boonville"," CA",-123.3671551,39.0089749,"Anderson Valley Brewing Company"
"33",0.071,75,2511,"Long Leaf","American IPA",69,16,"Boone"," NC",-81.6745517,36.216795,"Appalachian Mountain Brewery"
"34",0.047,19,2510,"Honey Badger Blonde","American Blonde Ale",69,16,"Boone"," NC",-81.6745517,36.216795,"Appalachian Mountain Brewery"
"35",0.06,55,413,"Sky High Rye","American Pale Ale (APA)",541,12,"Battle Creek"," MI",-85.1797142,42.3211522,"Arcadia Brewing Company"
"36",0.062,17,390,"Whitsun","American Pale Wheat Ale",541,12,"Battle Creek"," MI",-85.1797142,42.3211522,"Arcadia Brewing Company"
"37",0.07,45,1322,"Green Bullet Organic India Pale Ale","American IPA",429,16,"Boulder"," CO",-105.2705456,40.0149856,"Asher Brewing Company"
"38",0.06,69,428,"Shiva IPA","American IPA",528,12,"Asheville"," NC",-82.5514869,35.5950581,"Asheville Brewing Company"
"39",0.056,27,597,"This Season's Blonde","American Blonde Ale",523,12,"Aspen"," CO",-106.8175387,39.1910983,"Aspen Brewing Company"
"40",0.07,67,596,"Independence Pass Ale","American IPA",523,12,"Aspen"," CO",-106.8175387,39.1910983,"Aspen Brewing Company"
"41",0.082,138,980,"Bitter Bitch Imperial IPA","American Double / Imperial IPA",374,12,"Astoria"," OR",-123.8312534,46.1878841,"Astoria Brewing Company"
"42",0.06,35,978,"Old Red Beard Amber Ale","American Amber / Red Ale",374,12,"Astoria"," OR",-123.8312534,46.1878841,"Astoria Brewing Company"
"43",0.075,115,2503,"Hop A-Peel","American Double / Imperial IPA",72,16,"Detroit"," MI",-83.0457538,42.331427,"Atwater Brewery"
"44",0.045,8,534,"Dirty Blonde Ale","American Blonde Ale",72,12,"Detroit"," MI",-83.0457538,42.331427,"Atwater Brewery"
"45",0.05,62,528,"Grand Circus IPA","American IPA",72,12,"Detroit"," MI",-83.0457538,42.331427,"Atwater Brewery"
"46",0.063,69,107,"Avery India Pale Ale","American IPA",37,12,"Boulder"," CO",-105.2705456,40.0149856,"Avery Brewing Company"
"47",0.048,23,1228,"Mad Beach","American Pale Wheat Ale",360,12,"Fuquay-Varina"," NC",-78.8000128,35.5843235,"Aviator Brewing Company"
"48",0.061,41,702,"Hot Rod Red","American Amber / Red Ale",360,12,"Fuquay-Varina"," NC",-78.8000128,35.5843235,"Aviator Brewing Company"
"49",0.06,43,1875,"Naked Pig Pale Ale","American Pale Ale (APA)",286,12,"Gadsden"," AL",-86.0066386,34.014264,"Back Forty Beer Company"
"50",0.068,70,966,"Topcutter India Pale Ale","American IPA",483,12,"Yakima"," WA",-120.5058987,46.6020711,"Bale Breaker Brewing Company"
"51",0.044,38,965,"Field 41 Pale Ale","American Pale Ale (APA)",483,12,"Yakima"," WA",-120.5058987,46.6020711,"Bale Breaker Brewing Company"
"52",0.038,40,2105,"Even Keel","American IPA",34,12,"San Diego"," CA",-117.1610838,32.715738,"Ballast Point Brewing Company"
"53",0.07,75,1400,"Big Eye India Pale Ale","American IPA",34,12,"San Diego"," CA",-117.1610838,32.715738,"Ballast Point Brewing Company"
"54",0.07,70,1018,"Sculpin IPA","American IPA",34,12,"San Diego"," CA",-117.1610838,32.715738,"Ballast Point Brewing Company"
"55",0.035,45,1643,"Banner American Ale","American Amber / Red Ale",318,12,"Williamsburg"," MA",-76.7074571,37.2707022,"Banner Beer Company"
"56",0.07,46,2618,"Thai.p.a","American IPA",20,16,"Granger"," IN",-86.1108377,41.7533819,"Bare Hands Brewery"
"57",0.06,60,2005,"Barrio Blanco","American IPA",251,12,"Tucson"," AZ",-110.926479,32.2217429,"Barrio Brewing Company"
"58",0.067,60,2323,"Ultra Gnar Gnar IPA","American IPA",116,12,"Portland"," OR",-122.6764816,45.5230622,"Base Camp Brewing Co."
"59",0.067,70,1965,"Sky-Five","American IPA",258,12,"Minneapolis"," MN",-93.2650108,44.977753,"Bauhaus Brew Labs"
"60",0.055,35,533,"Amber Road","American Amber / Red Ale",292,12,"Lewiston"," ME",-117.0011889,46.4004089,"Baxter Brewing Company"
"61",0.049,28,183,"Pamola Xtra Pale Ale","American Pale Ale (APA)",292,12,"Lewiston"," ME",-117.0011889,46.4004089,"Baxter Brewing Company"
"62",0.069,69,182,"Stowaway IPA","American IPA",292,12,"Lewiston"," ME",-117.0011889,46.4004089,"Baxter Brewing Company"
"63",0.088,108,1806,"Hoptopus Double IPA","American Double / Imperial IPA",306,16,"Virginia Beach"," VA",-75.977985,36.8529263,"Beach Brewing Company"
"64",0.058,45,2423,"Fenway American Pale Ale","American Pale Ale (APA)",103,12,"Lowell"," MA",-71.3161718,42.6334247,"Beer Works Brewery"
"65",0.068,85,2420,"Back Bay IPA","American IPA",103,12,"Lowell"," MA",-71.3161718,42.6334247,"Beer Works Brewery"
"66",0.057,27,2556,"Nordic Blonde","American Blonde Ale",53,12,"Roseville"," MN",-121.2880059,38.7521235,"Bent Brewstillery"
"67",0.072,87,2410,"Harness the Winter","American IPA",75,12,"Duluth"," MN",-92.1004852,46.7866719,"Bent Paddle Brewing Company"
"68",0.062,68,1901,"Bent Hop Golden IPA","American IPA",75,12,"Duluth"," MN",-92.1004852,46.7866719,"Bent Paddle Brewing Company"
"69",0.053,20,1317,"Steel Rail Extra Pale Ale","American Pale Ale (APA)",278,12,"South Deerfield"," MA",-72.6078667,42.4773097,"Berkshire Brewing Company"
"70",0.095,104,1762,"Hemlock Double IPA","American Double / Imperial IPA",220,12,"Broomfield"," CO",-105.0866504,39.9205411,"Big Choice Brewing"
"71",0.067,85,1067,"Disconnected Red","American Amber / Red Ale",220,16,"Broomfield"," CO",-105.0866504,39.9205411,"Big Choice Brewing"
"72",0.075,60,2585,"Galaxy IPA","American IPA",40,16,"Murphysboro"," IL",-89.3350888,37.7644952,"Big Muddy Brewing"
"73",0.06,55,632,"House Brand IPA","American IPA",519,12,"Chattanooga"," TN",-85.3096801,35.0456297,"Big River Brewing Company"
"74",0.062,65,1714,"Big Sky IPA","American IPA",336,12,"Missoula"," MT",-113.996586,46.8787176,"Big Sky Brewing Company"
"75",0.05,35,1712,"Montana Trout Slayer Ale","American Pale Wheat Ale",336,12,"Missoula"," MT",-113.996586,46.8787176,"Big Sky Brewing Company"
"76",0.05,35,766,"Montana Trout Slayer Ale (2012)","American Pale Wheat Ale",336,12,"Missoula"," MT",-113.996586,46.8787176,"Big Sky Brewing Company"
"77",0.062,65,579,"Big Sky IPA (2012)","American IPA",336,12,"Missoula"," MT",-113.996586,46.8787176,"Big Sky Brewing Company"
"78",0.05,35,35,"Montana Trout Slayer Ale (2009)","American Pale Wheat Ale",336,12,"Missoula"," MT",-113.996586,46.8787176,"Big Sky Brewing Company"
"79",0.069,81,2096,"Arcus IPA","American IPA",221,12,"Odessa"," FL",-102.3676431,31.8456816,"Big Storm Brewing Company"
"80",0.058,38,2095,"Wavemaker","American Amber / Red Ale",221,12,"Odessa"," FL",-102.3676431,31.8456816,"Big Storm Brewing Company"
"81",0.053,43,1257,"Jack Pine Savage","American Pale Ale (APA)",444,16,"Vadnais Heights"," MN",-93.0738305,45.0574658,"Big Wood Brewery"
"82",0.098,76,1255,"Bad Axe Imperial IPA","American Double / Imperial IPA",444,16,"Vadnais Heights"," MN",-93.0738305,45.0574658,"Big Wood Brewery"
"83",0.066,50,985,"Bark Bite IPA","American IPA",444,16,"Vadnais Heights"," MN",-93.0738305,45.0574658,"Big Wood Brewery"
"84",0.055,45,2508,"Jalapeno Pale Ale","American Pale Ale (APA)",70,16,"Charlotte"," NC",-80.8431267,35.2270869,"Birdsong Brewing Company"
"85",0.045,16,2412,"Deception","American Blonde Ale",112,12,"Temecula"," CA",-117.1483648,33.4936391,"Black Market Brewing Company"
"86",0.075,35,1898,"Blackmarket Rye IPA","American IPA",112,12,"Temecula"," CA",-117.1483648,33.4936391,"Black Market Brewing Company"
"87",0.058,44,1896,"Aftermath Pale Ale","American Pale Ale (APA)",112,12,"Temecula"," CA",-117.1483648,33.4936391,"Black Market Brewing Company"
"88",0.066,44,1847,"Colorado Red Ale","American Amber / Red Ale",294,12,"Denver"," CO",-104.990251,39.7392358,"Black Shirt Brewing Company"
"89",0.046,20,2484,"Bomber Mountain Amber Ale","American Amber / Red Ale",79,12,"Sheridan"," WY",-106.9561791,44.7971939,"Black Tooth Brewing Company"
"90",0.048,47,2634,"Nordskye ","American IPA",12,12,"Marquette"," MI",-87.9298002,43.0384666,"Blackrocks Brewery"
"91",0.07,51,1481,"51K IPA","American IPA",12,12,"Marquette"," MI",-87.9298002,43.0384666,"Blackrocks Brewery"
"92",0.046,35,611,"834 Happy As Ale","American Pale Ale (APA)",380,12,"Lincoln"," NE",-96.6851982,40.8257625,"Blue Blood Brewing Company"
"93",0.08,80,1812,"Quarter Mile Double IPA","American Double / Imperial IPA",304,12,"Canton"," MA",-81.378447,40.7989473,"Blue Hills Brewery"
"94",0.059,60,1547,"Full Nelson Pale Ale","American Pale Ale (APA)",382,12,"Afton"," VA",-92.7835373,44.9027452,"Blue Mountain Brewery"
"95",0.059,60,119,"Full Nelson Pale Ale (2010)","American Pale Ale (APA)",382,12,"Afton"," VA",-92.7835373,44.9027452,"Blue Mountain Brewery"
"96",0.044,16,667,"Blue Point Summer Ale","American Blonde Ale",489,12,"Patchogue"," NY",-73.019343,40.7659783,"Blue Point Brewing Company"
"97",0.042,30,1891,"Longhop IPA","American IPA",281,16,"Ridgefield Park"," NJ",-74.0215285,40.8570442,"Bolero Snort Brewery"
"98",0.066,72,2422,"Firestarter India Pale Ale","American IPA",107,12,"Eagle"," CO",-84.5151842,39.110673,"Bonfire Brewing Company"
"99",0.053,45,1183,"Kindler Pale Ale","American Pale Ale (APA)",107,12,"Eagle"," CO",-84.5151842,39.110673,"Bonfire Brewing Company"
"100",0.066,72,633,"Firestarter India Pale Ale","American IPA",107,16,"Eagle"," CO",-84.5151842,39.110673,"Bonfire Brewing Company"
"101",0.065,45,1629,"Rebel IPA","American IPA",300,16,"Boston"," MA",-71.0588801,42.3600825,"Boston Beer Company"
"102",0.053,7,1144,"Samuel Adams Summer Ale","American Pale Wheat Ale",300,12,"Boston"," MA",-71.0588801,42.3600825,"Boston Beer Company"
"103",0.049,35,1395,"Hazed & Infused","American Pale Ale (APA)",417,12,"Boulder"," CO",-105.2705456,40.0149856,"Boulder Beer Company"
"104",0.057,35,808,"Hoopla Pale Ale","American Pale Ale (APA)",417,12,"Boulder"," CO",-105.2705456,40.0149856,"Boulder Beer Company"
"105",0.049,35,81,"Hazed & Infused (2010)","American Pale Ale (APA)",417,12,"Boulder"," CO",-105.2705456,40.0149856,"Boulder Beer Company"
"106",0.062,80,2596,"Heavy Lifting","American IPA",31,12,"Kansas City"," MO",-94.5785667,39.0997265,"Boulevard Brewing Company"
"107",0.07,80,1289,"Bozone HopZone IPA","American IPA",219,12,"Bozeman"," MT",-111.0429339,45.6769979,"Bozeman Brewing Company"
